user_login,repo_name,repo_url,created_at,updated_at,forks_count,stargazers_count,language
r00k,elm-effects,https://github.com/r00k/elm-effects,2016-02-22T03:08:43Z,2016-02-22T03:08:43Z,0,0,Elm
r00k,elm-lang.org,https://github.com/r00k/elm-lang.org,2016-02-21T21:21:26Z,2018-05-23T22:41:10Z,0,0,Elm
r00k,elm-pong,https://github.com/r00k/elm-pong,2016-02-21T22:38:37Z,2021-09-21T13:14:03Z,1,0,HTML
r00k,elm-rails,https://github.com/r00k/elm-rails,2016-02-15T22:38:58Z,2020-05-28T22:20:44Z,0,1,Ruby
r00k,factory_girl,https://github.com/r00k/factory_girl,2010-02-05T20:31:12Z,2015-12-05T19:22:41Z,1,2,Ruby
REMitchell,abinecookbooks,https://github.com/REMitchell/abinecookbooks,2012-11-05T20:42:36Z,2021-05-23T21:52:59Z,0,1,
REMitchell,apiscraper,https://github.com/REMitchell/apiscraper,2016-07-19T04:14:12Z,2024-10-22T01:17:52Z,62,126,Python
REMitchell,asee,https://github.com/REMitchell/asee,2018-01-11T17:28:20Z,2021-05-23T21:52:48Z,1,2,Python
REMitchell,bpl_web_dev_ryan,https://github.com/REMitchell/bpl_web_dev_ryan,2016-09-21T23:24:33Z,2021-05-23T21:52:53Z,1,2,CSS
REMitchell,businessscraper,https://github.com/REMitchell/businessscraper,2013-11-19T22:18:57Z,2023-12-30T02:34:59Z,2,5,
REMitchell,cowrie,https://github.com/REMitchell/cowrie,2022-09-01T02:11:27Z,2023-12-30T02:34:37Z,0,0,
REMitchell,CSCIE-160-Homework,https://github.com/REMitchell/CSCIE-160-Homework,2012-10-17T01:13:21Z,2021-05-23T21:52:58Z,0,1,Java
REMitchell,cscie-81_presentation,https://github.com/REMitchell/cscie-81_presentation,2015-10-22T00:07:46Z,2021-05-23T21:52:54Z,1,1,Python
REMitchell,CSCIE109A,https://github.com/REMitchell/CSCIE109A,2017-10-06T02:09:30Z,2021-05-23T21:52:50Z,3,3,Jupyter Notebook
REMitchell,CSCIE97-Homework,https://github.com/REMitchell/CSCIE97-Homework,2014-09-14T01:35:49Z,2021-05-23T21:52:57Z,0,1,Java
REMitchell,d4c-exam,https://github.com/REMitchell/d4c-exam,2017-04-22T14:50:05Z,2021-05-23T21:52:51Z,3,2,Jupyter Notebook
REMitchell,data-day-seattle,https://github.com/REMitchell/data-day-seattle,2015-06-26T02:11:48Z,2021-05-23T21:52:56Z,13,10,Python
